	Precision 	  Recall  	 F 
a       	   93.75% 	  93.75% 	  93.75%
ac      	  100.00% 	 100.00% 	 100.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	  100.00% 	  33.33% 	  50.00%
if3     	   78.95% 	  78.95% 	  78.95%
if4     	   87.50% 	 100.00% 	  93.33%
l       	  100.00% 	  94.87% 	  97.37%
qt      	   99.01% 	  99.01% 	  99.01%
sp      	    0.00% 	   0.00% 	   0.00%
tl      	   66.67% 	 100.00% 	  80.00%
tp      	  100.00% 	  50.00% 	  66.67%
tv      	  100.00% 	 100.00% 	 100.00%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   96.88% 	  96.46% 	  96.67% 
