	Precision 	  Recall  	 F 
a       	   89.94% 	  96.82% 	  93.25%
ac      	  100.00% 	 100.00% 	 100.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	  100.00% 	  25.00% 	  40.00%
if3     	   96.15% 	  71.43% 	  81.97%
if4     	  100.00% 	  58.33% 	  73.68%
l       	   92.86% 	  95.12% 	  93.98%
qt      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	  100.00% 	  33.33% 	  50.00%
tv      	  100.00% 	  98.27% 	  99.13%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   96.55% 	  95.14% 	  95.84% 
